,country,time_of_day,lat,long,road_type,road_condition,weather,solar_angle_elevation,month,hour,temperature_2m,relative_humidity_2m,rain,snowfall,cloud_cover,cloud_cover_low,cloud_cover_mid,sunshine_duration,wind_speed_10m,weather_code,laplacian,quality,brightness,noisiness,sharpness,contrast,complexity,conf,iou,lrp,pq
8459,SE,day,55.6042088835034,13.028574055029615,city,normal,cloudy,36.56024794583501,5,14,15.38450050354004,64.54500579833984,0.1000000014901161,0.0,54.0,24.0,37.0,3600.0,7.895416259765625,51.0,129.5969900382831,0.6578227,0.15992673,0.9967871,0.9804007,0.12981069,0.21871714,0.6713205805191627,0.8165359950318412,1.5143709919267418,0.7320667541664783
85589,IT,night,41.79485347012337,12.522879577369832,highway,normal,clear-night,-28.021008006348566,8,21,24.98849868774414,75.1826171875,0.0,0.0,9.0,0.0,9.0,0.0,4.896529197692871,0.0,97.86585379186624,0.6080921,0.08908852,0.98644245,0.96293694,0.12078107,0.26834223,0.7485401133696238,0.9060321761134046,1.4872386113360856,0.6795241320850535
90649,DE,day,49.1821526797556,9.41473726958959,highway,normal,partly-cloudy-day,13.598807071688242,10,15,9.7160005569458,80.46773529052734,0.2000000029802322,0.0,65.0,16.0,62.0,3600.0,11.18320083618164,51.0,27.64045858143768,0.60110384,0.218664,0.9945411,0.98169255,0.13577345,0.068395406,0.49728190898895264,0.8271954914241285,1.4362606552321715,0.6617563931393028
48806,SE,day,55.57673168641581,13.013050533233796,city,normal,partly-cloudy-day,18.36946277429064,5,17,13.447999954223633,76.75273132324219,0.0,0.0,84.0,1.0,14.0,3600.0,6.830519199371338,3.0,42.53675405073878,0.55024487,0.17441247,0.9876094,0.818441,0.16397548,0.21463546,0.6219780832529068,0.6796657535696249,1.248767966481019,0.5560901620115112
35874,IT,day,45.478482665086695,9.20036375168404,city,normal,clear-day,54.49335896262589,7,9,29.70050048828125,50.24602127075195,0.0,0.0,3.0,2.0,1.0,3600.0,5.001279830932617,0.0,38.55316941026752,0.7874039,0.18077289,0.99840134,0.9445119,0.25527912,0.27246273,0.7055378456910452,0.8346591378337583,1.354344969471038,0.5778409415772173
33633,SE,day,62.389105188862366,17.304684263189067,city,snow,cloudy,9.116765851403542,1,12,-10.566499710083008,70.37300872802734,0.0,0.0,72.0,0.0,99.0,3600.0,11.269782066345217,2.0,129.94936859365387,0.74128515,0.1729521,0.99219006,0.97708935,0.13742656,0.1633959,0.6368263741334279,0.7165117023995325,1.2635794637907352,0.5422250720861327
86940,DE,day,50.76531056282449,7.560310410650456,smaller-rural,normal,partly-cloudy-day,11.199053987841124,11,13,7.175000190734863,76.25698852539062,0.0,0.0,2.0,1.0,0.0,3600.0,5.411986351013184,0.0,111.22155093105196,0.64866656,0.19609633,0.99359775,0.9597643,0.1794767,0.14290993,0.45416876673698425,0.7083171723223034,1.2083171723223034,0.47221144821486893
24618,SE,day,55.60500630006726,13.028919096937406,city,normal,cloudy,48.654960025492,5,13,16.117000579833984,65.80170440673828,0.0,0.0,100.0,73.0,13.0,3600.0,18.723461151123047,3.0,56.58156110210266,0.672711,0.09348515,0.99520123,0.94703484,0.1963537,0.35705176,0.692301543695586,0.8973350697099455,1.4600721859799368,0.6580457177872934
63833,PL,day,53.09983301531628,20.4092353207954,smaller-rural,normal,partly-cloudy-day,48.90871865628412,4,10,13.131000518798828,62.51512908935547,0.8999999761581421,0.0,48.0,28.0,31.0,3600.0,17.462783813476562,53.0,22.252502378193032,0.61673975,0.18630242,0.9949758,0.93948185,0.1846272,0.104379475,0.5791905181748527,0.7848693526918032,1.1899129017945356,0.3924346763459016
11675,SE,day,55.607178751804334,12.991997880467055,city,normal,cloudy,22.898734705890902,5,16,15.303999900817873,64.52716064453125,0.0,0.0,86.0,25.0,38.0,3600.0,10.495713233947754,3.0,77.39784739665792,0.63686806,0.24443714,0.991994,0.98858273,0.13704756,0.084547795,0.7090364009141922,0.7874686767861626,1.3449624121433952,0.5906015075896219
