img_id,Time_of_Day,Weather_Condition,Road_Environment_Type,Road_Surface_Condition,Traffic_Density,Pedestrian_Presence,Cyclist_Presence,Number_of_Visible_Lanes,Intersection_Type,Lane_Marking_Visibility,Artificial_Lighting_Source,Crosswalk_Presence,Vertical_Road_Profile,Horizontal_Road_Curvature,Infrastructure_Barriers,Building_Density,Vegetation_Level,Traffic_Sign_Presence,Vehicle_Composition,Ego_Vehicle_Lane_Position,Ego_Vehicle_Lane_POSITION
8459,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,Passenger_Cars_Only,Centered,
63960,Dawn/Dusk,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,3,Four-Way,Clear,Vehicle_Headlights,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,
71801,Daylight,Cloudy,Highway,Dry,Low,,No,3,,Clear,,No,Flat,Straight,Concrete_Median,Industrial,Sparse,,Passenger_Cars_Only,Centered,
85589,Night,Clear,Highway,Dry,Low,,No,3,,Clear,Street_Lights,No,Flat,Straight,Concrete_Median,,Moderate,Directional,Passenger_Cars_Only,Centered,
90649,Daylight,Cloudy,Highway,Dry,Low,,No,2,,Clear,,No,Flat,Slight_Left,Metal_Guardrail,Sparse/Rural,Moderate,Directional,Mixed_Heavy_Traffic,Centered,
48806,Daylight,Clear,Residential,Dry,Low,,No,2,,Clear,,No,Uphill,Straight,Curb,Low_Density_Urban,Park-like,Regulatory,Passenger_Cars_Only,Centered,
35874,Daylight,Clear,Urban,Dry,Low,,No,1,,Faded,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Directional,Passenger_Cars_Only,Centered,
33633,Daylight,Clear,Urban,Snow_Covered,Low,On_Sidewalk,No,2,,Occluded_by_Snow/Water,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,
86940,Daylight,Cloudy,Residential,Dry,Low,,Yes,2,T-Junction,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,
45719,Daylight,Clear,Urban,Dry,Moderate,,No,3,Four-Way,Clear,,No,Flat,Straight,Curb,High_Rise,Moderate,Regulatory,Public_Transit_Focus,Centered,
24618,Daylight,Cloudy,Urban,Dry,Low,,No,4,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Public_Transit_Focus,Centered,
63833,Daylight,Cloudy,Residential,Dry,Low,Near_Roadside,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Warning,Mixed_Heavy_Traffic,Centered,
11675,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,2,Four-Way,Clear,,No,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,
42143,Daylight,Cloudy,Highway,Dry,Low,Near_Roadside,No,2,,Faded,,No,Flat,Straight,Metal_Guardrail,Low_Density_Urban,Moderate,Regulatory,Mixed_Heavy_Traffic,Centered,
41247,Daylight,Clear,Highway,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Metal_Guardrail,Low_Density_Urban,Moderate,Directional,Passenger_Cars_Only,Centered,
44941,Daylight,Rainy,Urban,Wet,Moderate,Crossing_Road,No,2,Four-Way,Occluded_by_Snow/Water,Vehicle_Headlights,Yes,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,
