,country,time_of_day,lat,long,road_type,road_condition,weather,solar_angle_elevation,month,hour,temperature_2m,relative_humidity_2m,rain,snowfall,cloud_cover,cloud_cover_low,cloud_cover_mid,sunshine_duration,wind_speed_10m,weather_code,laplacian,quality,brightness,noisiness,sharpness,contrast,complexity
98397,FR,day,45.762468960445865,4.804739169306589,arterial-urban,normal,partly-cloudy-day,16.50509502375681,2,15,5.684999942779541,55.79768753051758,0.0,0.0,96.0,0.0,92.0,3600.0,28.116899490356445,3.0,39.081032172548106,0.53960145,0.06976512,0.9891712,0.87875134,0.0697813,0.13289072
35847,PL,day,53.22823047364673,20.41940550754809,arterial-rural,normal,partly-cloudy-day,48.92905954292076,4,10,14.343500137329102,62.58143615722656,0.0,0.0,24.0,15.0,18.0,3600.0,16.19999885559082,1.0,16.14256088058302,0.64062005,0.1277542,0.9951369,0.970369,0.1606643,0.122570075
80876,IT,night,41.822820688955055,12.38891722146696,highway,normal,clear-night,-33.275222026873976,8,22,24.14999961853028,68.11344146728516,0.0,0.0,0.0,0.0,0.0,0.0,9.164103507995604,0.0,104.14557037335908,0.557159,0.14948942,0.95335025,0.9253547,0.23623006,0.43579954
93231,NO,day,63.88027076483005,11.424492321864994,arterial-rural,normal,partly-cloudy-day,11.792522742468776,2,9,2.007499933242798,68.45542907714844,0.0,0.0700000002980232,99.0,0.0,97.0,0.0,4.896529674530029,71.0,57.4330813136744,0.5506614,0.1025919,0.99191535,0.96731323,0.17580046,0.12767291
79339,FR,day,43.93453992660379,5.030069396722129,arterial-rural,normal,partly-cloudy-day,11.922188060404736,2,7,11.125,76.37774658203125,0.0,0.0,99.0,97.0,1.0,681.4884643554688,15.79083251953125,3.0,27.989814030477927,0.6850148,0.13197054,0.9941817,0.9833151,0.13304222,0.09140895
35596,PL,day,52.22286946261947,21.09150557972636,city,normal,partly-cloudy-day,49.44547856721406,4,10,15.40850067138672,56.91339492797852,0.1000000014901161,0.0,20.0,9.0,6.0,3600.0,12.43433952331543,51.0,86.0488755645017,0.56947184,0.12111326,0.9936685,0.82318217,0.16013657,0.23905586
61163,GB,day,51.4810041427217,-0.4424548354786869,arterial-rural,normal,cloudy,9.250696956305433,2,8,5.515500068664551,79.87001037597656,0.0,0.0,78.0,0.0,9.0,222.5784149169922,20.74612236022949,2.0,39.51505129258685,0.6642162,0.20781916,0.9943922,0.9797554,0.23007011,0.15817308
9815,DE,day,50.93579898697772,6.9710710341403255,city,normal,partly-cloudy-day,11.690483548494043,11,8,6.521499633789063,87.66202545166016,0.0,0.0,57.0,21.0,50.0,3600.0,9.746630668640137,2.0,140.90018054150588,0.65070707,0.15542687,0.9942624,0.97688955,0.10799689,0.17858236
53698,DE,night,52.535333452106514,13.422064912316044,arterial-urban,normal,partly-cloudy-night,-18.180866737434727,9,19,22.03949928283692,63.07511520385742,0.0,0.0,0.0,0.0,0.0,0.0,8.534353256225586,0.0,136.32346115432588,0.46413276,0.07333959,0.9864585,0.95117855,0.11758693,0.1617911
30984,SE,day,55.606303347047934,13.018867128184716,city,normal,cloudy,30.320885017525555,5,15,14.017499923706056,72.58222198486328,0.0,0.0,81.0,1.0,4.0,3600.0,9.686609268188477,3.0,85.0638394555615,0.66455907,0.10242138,0.99464875,0.96097356,0.21065512,0.28838003
14367,PL,day,52.229492066892576,20.950392540014764,city,normal,clear-day,37.846627736407896,4,7,9.309000015258787,51.29022979736328,0.0,0.0,0.0,0.0,0.0,3600.0,12.496718406677246,0.0,72.12499209397497,0.6179146,0.10078489,0.99193573,0.92719287,0.18157975,0.19617784
14157,SE,day,55.60521355288796,13.015944529839503,city,normal,cloudy,46.63971491268569,5,13,15.669499397277832,65.7052230834961,0.0,0.0,99.0,35.0,5.0,3600.0,18.94708251953125,3.0,73.50171763801832,0.6252323,0.1204319,0.99200517,0.8624244,0.14914382,0.23291227
77727,SE,twilight,67.86478560586461,20.208230119420254,smaller-rural,snow,fog,-0.9541601475848012,1,12,-17.155000686645508,86.23764038085938,0.0,0.0,95.0,97.0,0.0,0.0,6.119999885559082,3.0,13.919649422280797,0.60718876,0.12865317,0.99546057,0.95734245,0.17851765,0.11957731
24499,PL,day,54.36641418441632,18.63374534229348,city,normal,clear-day,49.7697215324945,6,8,17.9064998626709,67.7310791015625,0.0,0.0,19.0,0.0,19.0,3600.0,12.783802032470703,0.0,140.74502459732054,0.66413814,0.23244214,0.99434596,0.9679051,0.10688071,0.10834972
80526,DE,day,52.54196755482148,13.439618258370087,arterial-urban,normal,clear-day,33.56458335120866,9,12,25.64800071716309,37.68175506591797,0.0,0.0,45.0,0.0,0.0,3600.0,10.58791732788086,1.0,93.65882292272735,0.70232475,0.1246189,0.99430805,0.8095955,0.21034773,0.38726965
83165,FR,day,45.77322892444485,4.829927425328255,arterial-urban,normal,partly-cloudy-day,29.43393713952333,2,13,6.96150016784668,51.5810432434082,0.0,0.0,10.0,5.0,0.0,3600.0,21.829776763916016,0.0,34.85091945516372,0.76688343,0.15772557,0.9982552,0.9814461,0.09180027,0.14642353
67153,SE,night,63.88370171966259,20.03593501682189,arterial-rural,snow,partly-cloudy-night,-16.31303869544942,2,17,-8.291999816894531,92.12849426269533,0.0,0.0,98.0,1.0,4.0,0.0,5.623379707336426,3.0,16.34593584500833,0.7808349,0.38275883,0.95437133,0.97457314,0.393319,0.43563232
75667,NO,day,63.49418454745907,10.88332425864035,arterial-rural,normal,cloudy,14.031753830777916,2,10,4.579999923706055,61.811153411865234,0.0,0.0,80.0,0.0,33.0,908.4828491210938,10.00903606414795,3.0,16.166753059058532,0.645986,0.2222417,0.9875853,0.89661807,0.19842735,0.20025434
66757,IT,night,41.956838608994126,12.38454826325882,arterial-urban,normal,clear-night,-32.71686383501685,8,22,24.07950019836425,75.50326538085938,0.0,0.0,0.0,0.0,0.0,0.0,4.802999019622803,0.0,103.7831822331614,0.73938197,0.24366845,0.9945028,0.98333967,0.09623169,0.19882311
81587,DE,night,50.92441177001615,6.950881657327201,arterial-urban,normal,cloudy,-9.965633329105929,11,16,11.45199966430664,79.61894989013672,0.0,0.0,98.0,97.0,60.0,0.0,17.533145904541016,3.0,181.24700790015748,0.6840893,0.28229722,0.99471277,0.98462385,0.1410548,0.18242992
36653,IT,day,45.489328352380014,9.232223770552078,city,normal,partly-cloudy-day,30.08361977918585,7,7,26.36050033569336,61.08560180664063,0.0,0.0,15.0,8.0,2.0,3600.0,9.885261535644531,0.0,111.09348204874996,0.6453275,0.12105015,0.9970703,0.9236826,0.14006196,0.17077821
23169,PL,night,54.40873907467863,18.556465611252182,city,normal,clear-night,-9.681584550810244,6,20,11.930999755859377,77.03069305419922,0.0,0.0,42.0,0.0,42.0,0.0,7.145795822143555,1.0,90.31093500410545,0.6875483,0.1669962,0.9861099,0.9911972,0.105542734,0.18159787
33883,PL,day,54.40890240790505,18.588476742412148,city,normal,partly-cloudy-day,9.49054419644098,6,17,17.374000549316406,59.57246780395508,0.0,0.0,55.0,0.0,0.0,3600.0,8.473393440246582,2.0,79.65810245650643,0.38219774,0.13703024,0.9856133,0.48562896,0.14154369,0.32598075
97882,PL,day,50.10076530969443,19.889124501512523,arterial-rural,normal,clear-day,40.4548368397448,4,7,9.382500648498535,55.958534240722656,0.0,0.0,3.0,0.0,3.0,3600.0,9.885261535644531,0.0,60.06443412472556,0.68970394,0.20158242,0.99262047,0.9068641,0.21845444,0.13747196
27458,PL,day,52.249068822022565,21.04319950630365,city,wet,rain,16.899131915179126,4,15,3.2260000705718994,94.82515716552734,0.6000000238418579,0.0,100.0,80.0,100.0,0.0,13.10419750213623,53.0,47.65664702394782,0.6004664,0.13529322,0.99401206,0.9751889,0.13767636,0.19960068
56213,DE,day,50.922443162446775,6.934786519949523,arterial-urban,normal,partly-cloudy-day,17.352833684390077,11,10,7.189000129699707,85.01927947998047,0.1000000014901161,0.0,36.0,31.0,14.0,3600.0,10.58791732788086,51.0,225.94123475472887,0.6765673,0.3082984,0.99480826,0.9736104,0.17311968,0.17424144
37076,DE,twilight,50.95398233814248,6.987431043311135,city,normal,rain,-3.270293545540923,11,16,11.399499893188477,81.52535247802734,0.0,0.0,99.0,99.0,85.0,0.0,15.646544456481934,3.0,100.85352318886552,0.4751282,0.10641224,0.9928469,0.96266896,0.10864236,0.099464245
77069,PL,twilight,52.216503478291926,20.99038077146185,arterial-urban,normal,partly-cloudy-night,-3.655655185681979,4,18,10.67650032043457,74.74613189697266,0.0,0.0,34.0,0.0,34.0,0.0,2.968636035919189,1.0,23.63271106957518,0.7865572,0.25115398,0.9981824,0.9768664,0.20588528,0.20047468
89287,DE,day,51.32875608638366,12.399083743011548,arterial-urban,normal,partly-cloudy-day,35.43474949135253,9,10,17.327999114990234,65.40580749511719,0.0,0.0,88.0,86.0,0.0,3600.0,5.014219284057617,3.0,266.7016027160871,0.4943664,0.07590446,0.991198,0.9051754,0.11972523,0.26497546
18411,IT,day,45.47832744314239,9.202560121855814,city,normal,clear-day,54.637868300499925,7,9,30.968000411987305,46.33802032470703,0.0,0.0,79.0,3.0,2.0,3600.0,5.116561412811279,2.0,164.92959783996986,0.538796,0.14282128,0.99535394,0.9342994,0.11098928,0.14852102
71721,IT,day,42.909097324782,11.981249359306505,highway,normal,clear-day,58.6154484611744,8,11,30.602998733520508,35.33964538574219,0.0,0.0,11.0,0.0,21.0,3600.0,8.766572952270508,0.0,44.211119237354254,0.71104074,0.2597992,0.99600357,0.9523388,0.20991252,0.14307472
76102,SE,day,64.75378661618534,20.932717371899184,smaller-rural,snow,snow,3.2411220593298253,1,12,-4.923000335693359,85.53715515136719,0.0,0.699999988079071,100.0,100.0,100.0,0.0,22.34611320495605,73.0,19.646136674952803,0.54826605,0.094791226,0.99514234,0.96388274,0.12692127,0.106094986
94747,DE,twilight,50.96350519703077,6.998251544495068,arterial-urban,normal,rain,-5.6092069691579525,11,16,11.270999908447266,82.0631332397461,0.0,0.0,99.0,99.0,81.0,0.0,13.905508995056152,3.0,106.03132393920374,0.6049777,0.07297191,0.9759011,0.7310483,0.14549947,0.22292954
82932,SE,day,64.75976388902122,21.00681092596842,smaller-rural,snow,snow,4.344667154459529,1,12,-4.684000015258789,83.29400634765625,0.0,0.5600000023841858,100.0,100.0,100.0,0.0,28.59451675415039,73.0,17.030471083132376,0.7069473,0.15968394,0.9960335,0.970485,0.13978444,0.15177068
76287,DE,night,49.27514708057751,8.638007279942462,highway,normal,partly-cloudy-night,-23.0033150332732,10,18,7.897500038146973,83.0549087524414,0.0,0.0,25.0,12.0,21.0,0.0,9.44957160949707,1.0,68.02572325997873,0.54649615,0.21022126,0.9857001,0.9894888,0.08012362,0.04930046
56270,DE,day,52.51231160174845,13.3505662367451,arterial-rural,normal,clear-day,31.639916558309963,9,12,25.780498504638672,36.35653305053711,0.0,0.0,47.0,0.0,0.0,3600.0,10.703569412231444,1.0,343.42510908482666,0.67649883,0.14512648,0.9920264,0.95905924,0.19402994,0.35707846
90984,PL,day,50.74337431250753,19.15405892887012,arterial-rural,wet,cloudy,26.76578041268992,4,14,2.9260001182556152,84.53588104248047,0.1000000014901161,0.0,100.0,34.0,98.0,0.0,14.007655143737791,51.0,149.79502804990125,0.77222013,0.13497242,0.9912578,0.9746645,0.38117817,0.3961797
91168,DE,night,50.92583276305826,6.9475865799273375,arterial-urban,normal,cloudy,-9.81346203258022,11,16,11.432499885559082,79.61614990234375,0.0,0.0,98.0,97.0,60.0,0.0,17.533145904541016,3.0,113.02676736406848,0.7888749,0.19492424,0.9973042,0.98871464,0.11680021,0.108270414
26759,DE,day,50.93738732751,6.982111918475038,city,normal,partly-cloudy-day,13.336164246917464,11,9,6.534499645233154,87.66323852539062,0.0,0.0,57.0,21.0,50.0,3600.0,9.746630668640137,2.0,156.54573922918806,0.7079938,0.29322994,0.99304295,0.9576723,0.180154,0.12960194
96985,IT,night,41.8802805081171,12.6099693188999,highway,normal,clear-night,-23.89455902630929,8,20,25.06100082397461,72.2292251586914,0.0,0.0,10.0,0.0,10.0,0.0,7.695919990539551,0.0,110.6047738975888,0.6926149,0.09690037,0.9848471,0.78867465,0.0570073,0.06760041
92237,SE,day,65.56025859377893,21.885374422171388,arterial-rural,wet,partly-cloudy-day,7.7073658299229635,3,15,-2.243499994277954,80.8099594116211,0.0,0.0,89.0,5.0,87.0,1061.3763427734375,11.792404174804688,3.0,42.589714181942085,0.57572126,0.10268044,0.9951709,0.975151,0.14949791,0.11955262
61964,FR,day,43.70003402939431,7.188182364687548,highway,normal,clear-day,24.692584890137056,2,8,15.727999687194824,49.30916976928711,0.0,0.0,0.0,0.0,0.0,3600.0,0.8049845099449158,0.0,120.46891147999084,0.6199817,0.1427669,0.9954595,0.97508234,0.11575665,0.10729041
87654,FR,day,43.84945772307094,4.988696292306216,highway,normal,partly-cloudy-day,31.14236946259726,3,9,9.741499900817873,69.56513977050781,0.0,0.0,18.0,17.0,1.0,3600.0,2.9024126529693604,0.0,35.30939763012101,0.6901184,0.2154289,0.99660385,0.98702395,0.16153763,0.06387237
78696,NO,day,63.45358531893064,10.90959747194382,arterial-rural,normal,cloudy,14.16418179603464,2,10,5.476499557495117,61.350379943847656,0.0,0.0,69.0,0.0,50.0,3600.0,6.952754497528076,2.0,12.819167704722656,0.5613224,0.12459389,0.9824471,0.7332689,0.16697317,0.32391912
26114,PL,day,52.2260142531341,20.98785793328133,city,wet,rain,28.90935633142528,4,14,2.745999813079834,96.50975799560548,0.800000011920929,0.0,100.0,100.0,100.0,0.0,12.101570129394531,53.0,52.10735590550134,0.6759614,0.14973074,0.99478346,0.97903216,0.19508353,0.15322952
28753,IT,day,45.49844347323244,9.232912460784975,city,normal,clear-day,64.30380814405473,7,11,31.79750061035156,41.05590438842773,0.0,0.0,92.0,0.0,5.0,3600.0,2.968636035919189,3.0,69.52852310739671,0.65394294,0.124953866,0.99834156,0.973459,0.12606485,0.11299531
48794,PL,day,52.22868166582866,21.006519378686992,city,wet,rain,27.949002755383184,4,14,2.826499938964844,93.13217163085938,0.699999988079071,0.0,100.0,97.0,100.0,0.0,13.905508995056152,53.0,51.54013968395285,0.6562522,0.12354643,0.99645716,0.97961056,0.17506188,0.24086751
26993,DE,night,52.528715695715945,13.410338446503436,city,normal,partly-cloudy-night,-25.611050831322345,9,20,21.217500686645508,66.66105651855469,0.0,0.0,0.0,0.0,0.0,0.0,8.37338638305664,0.0,76.02288947853634,0.7173165,0.24013501,0.98543835,0.9840627,0.18712498,0.19265445
33612,DE,day,50.9302780389027,6.907870698411221,city,normal,rain,2.1895002910592467,11,15,11.788999557495115,78.06222534179688,0.0,0.0,88.0,61.0,85.0,3600.0,18.10409927368164,3.0,293.35313455910017,0.6733616,0.18942238,0.99547666,0.97434664,0.20524867,0.10190541
9774,DE,day,50.952273778141794,6.924162842115421,city,normal,partly-cloudy-day,8.24232157952936,11,8,5.738999843597412,90.71524047851562,0.0,0.0,50.0,47.0,34.0,0.0,8.287821769714355,2.0,55.42109876756368,0.6665207,0.17682652,0.9764114,0.6902364,0.31757256,0.49435234
37318,SE,day,55.5997534742263,12.991003985915688,city,normal,partly-cloudy-day,48.43615463725143,5,13,15.454500198364258,60.73996353149414,0.0,0.0,96.0,5.0,37.0,3600.0,11.50311279296875,3.0,95.80251302080488,0.629916,0.17625734,0.99669313,0.9861412,0.17880027,0.12544689
43272,DE,night,50.90295451533324,6.96477558806378,city,normal,cloudy,-12.088861037912778,11,17,11.445499420166016,79.6180191040039,0.0,0.0,98.0,97.0,60.0,0.0,17.533145904541016,3.0,114.9320552912155,0.60223913,0.08993965,0.992058,0.8294542,0.099078745,0.17966853
