,country,time_of_day,lat,long,road_type,road_condition,weather,solar_angle_elevation,month,hour,forward_acceleration,lateral_acceleration,forward_velocity,lateral_velocity,field_view_horizontal,camera_distance_from_ground,camera_pitch_angle,distortion_magnitude,camera_offset,laplacian,quality,brightness,noisiness,sharpness,contrast,complexity,temperature_2m,relative_humidity_2m,rain,snowfall,cloud_cover,cloud_cover_low,cloud_cover_mid,wind_speed_10m,weather_code
8459,SE,day,55.6042088835034,13.028574055029615,city,normal,cloudy,36.56024794583501,5,14,0.792593989505238,-0.7894235576854304,41.56028262878997,-0.0374033576102847,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,129.5969900382831,0.6578227,0.15992673,0.9967871,0.9804007,0.12981069,0.21871714,15.38450050354004,64.54500579833984,0.1000000014901161,0.0,54.0,24.0,37.0,7.895416259765625,51.0
71801,IT,day,41.98701399467725,12.496537666755511,highway,normal,clear-day,7.916845502430306,8,17,-0.7516630055074746,0.6631508440675983,86.87354528091804,-0.0639245313873725,120.9702880538638,1.102109518675779,0.9413256208462162,0.0465482622168124,39.98099524207568,29.380635262547,0.64013183,0.20751946,0.9934645,0.9547817,0.16079837,0.101427846,29.36100006103516,51.5955810546875,0.0,0.0,96.0,0.0,4.0,13.684735298156738,3.0
90649,DE,day,49.1821526797556,9.41473726958959,highway,normal,partly-cloudy-day,13.598807071688242,10,15,0.6149335271894976,-3.327158192351958,126.8005810470022,0.1312786306738138,120.9702880538638,1.11944171485232,-0.8397440833488172,0.0465482622168124,39.98099524207568,27.64045858143768,0.60110384,0.218664,0.9945411,0.98169255,0.13577345,0.068395406,9.7160005569458,80.46773529052734,0.2000000029802322,0.0,65.0,16.0,62.0,11.18320083618164,51.0
48806,SE,day,55.57673168641581,13.013050533233796,city,normal,partly-cloudy-day,18.36946277429064,5,17,0.1510198217060816,-0.8658157799871256,33.821007746402394,0.0095278544574795,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,42.53675405073878,0.55024487,0.17441247,0.9876094,0.818441,0.16397548,0.21463546,13.447999954223633,76.75273132324219,0.0,0.0,84.0,1.0,14.0,6.830519199371338,3.0
35874,IT,day,45.478482665086695,9.20036375168404,city,normal,clear-day,54.49335896262589,7,9,0.1132151876247634,-1.5461624743970717,28.59412734419772,0.0195928390810893,120.9702880538638,1.102109518675779,0.9415250836037842,0.0465482622168124,39.98099524207568,38.55316941026752,0.7874039,0.18077289,0.99840134,0.9445119,0.25527912,0.27246273,29.70050048828125,50.24602127075195,0.0,0.0,3.0,2.0,1.0,5.001279830932617,0.0
33633,SE,day,62.389105188862366,17.304684263189067,city,snow,cloudy,9.116765851403542,1,12,0.5460807585619444,-0.2604696013420811,19.3527862442788,-0.1278538165551836,120.4121940536434,1.096924474809985,0.0014707351158502,0.0498689260528878,22.4702791665162,129.94936859365387,0.74128515,0.1729521,0.99219006,0.97708935,0.13742656,0.1633959,-10.566499710083008,70.37300872802734,0.0,0.0,72.0,0.0,99.0,11.269782066345217,2.0
86940,DE,day,50.76531056282449,7.560310410650456,smaller-rural,normal,partly-cloudy-day,11.199053987841124,11,13,1.0830265817895717,-1.2067405026301932,66.44967940950399,0.5241284469934885,121.1604837134374,1.125060013269004,-0.8404232933982806,0.088727668963989,31.73622738887918,111.22155093105196,0.64866656,0.19609633,0.99359775,0.9597643,0.1794767,0.14290993,7.175000190734863,76.25698852539062,0.0,0.0,2.0,1.0,0.0,5.411986351013184,0.0
24618,SE,day,55.60500630006726,13.028919096937406,city,normal,cloudy,48.654960025492,5,13,0.8135899628716895,-0.8440024199075368,38.43080262807117,-0.0909588078771484,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,56.58156110210266,0.672711,0.09348515,0.99520123,0.94703484,0.1963537,0.35705176,16.117000579833984,65.80170440673828,0.0,0.0,100.0,73.0,13.0,18.723461151123047,3.0
63833,PL,day,53.09983301531628,20.4092353207954,smaller-rural,normal,partly-cloudy-day,48.90871865628412,4,10,-1.0072371259696602,0.7250852999200212,32.70818713316933,0.1199422100643087,120.0310462140434,1.129930671152837,0.7834161288230759,0.0339008523862861,14.273953023409025,22.252502378193032,0.61673975,0.18630242,0.9949758,0.93948185,0.1846272,0.104379475,13.131000518798828,62.51512908935547,0.8999999761581421,0.0,48.0,28.0,31.0,17.462783813476562,53.0
11675,SE,day,55.607178751804334,12.991997880467055,city,normal,cloudy,22.898734705890902,5,16,0.2268561438575729,1.648580624743971,-0.0530622183994504,0.0822381203278129,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,77.39784739665792,0.63686806,0.24443714,0.991994,0.98858273,0.13704756,0.084547795,15.303999900817873,64.52716064453125,0.0,0.0,86.0,25.0,38.0,10.495713233947754,3.0
