,Time_of_Day,Weather_Condition,Road_Environment_Type,Road_Surface_Condition,Traffic_Density,Pedestrian_Presence,Cyclist_Presence,Number_of_Visible_Lanes,Intersection_Type,Lane_Marking_Visibility,Artificial_Lighting_Source,Crosswalk_Presence,Vertical_Road_Profile,Horizontal_Road_Curvature,Infrastructure_Barriers,Building_Density,Vegetation_Level,Traffic_Sign_Presence,Vehicle_Composition,Ego_Vehicle_Lane_Position,Ego_Vehicle_Lane_POSITION,conf,iou,lrp
8459,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.6848993748426437,0.6893349066376686,0.478390097618103
63960,Dawn/Dusk,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,3,Four-Way,Clear,Vehicle_Headlights,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5860026958512097,0.4883733223313871,0.34251219034194946
71801,Daylight,Cloudy,Highway,Dry,Low,,No,3,,Clear,,No,Flat,Straight,Concrete_Median,Industrial,Sparse,,Passenger_Cars_Only,Centered,,0.5414366369897669,0.41853625814502055,0.269135057926178
85589,Night,Clear,Highway,Dry,Low,,No,3,,Clear,Street_Lights,No,Flat,Straight,Concrete_Median,,Moderate,Directional,Passenger_Cars_Only,Centered,,0.6881510615348816,0.6586371779441833,0.5172743797302246
90649,Daylight,Cloudy,Highway,Dry,Low,,No,2,,Clear,,No,Flat,Slight_Left,Metal_Guardrail,Sparse/Rural,Moderate,Directional,Mixed_Heavy_Traffic,Centered,,0.4397483042308262,0.4937419534793922,0.22483491897583008
48806,Daylight,Clear,Residential,Dry,Low,,No,2,,Clear,,No,Uphill,Straight,Curb,Low_Density_Urban,Park-like,Regulatory,Passenger_Cars_Only,Centered,,0.6528529392348396,0.5474647805094719,0.2959434986114502
35874,Daylight,Clear,Urban,Dry,Low,,No,1,,Faded,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Directional,Passenger_Cars_Only,Centered,,0.6392746989925703,0.4280014100827669,0.3296869993209839
33633,Daylight,Clear,Urban,Snow_Covered,Low,On_Sidewalk,No,2,,Occluded_by_Snow/Water,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.7196348479815892,0.47143256122415717,0.29541921615600586
86940,Daylight,Cloudy,Residential,Dry,Low,,Yes,2,T-Junction,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.6840913593769073,0.5176212986310323,0.36857593059539795
45719,Daylight,Clear,Urban,Dry,Moderate,,No,3,Four-Way,Clear,,No,Flat,Straight,Curb,High_Rise,Moderate,Regulatory,Public_Transit_Focus,Centered,,0.5870845019817352,0.46940106068338666,0.2517160177230835
24618,Daylight,Cloudy,Urban,Dry,Low,,No,4,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Public_Transit_Focus,Centered,,0.7107156932353973,0.5682869437668059,0.409146785736084
63833,Daylight,Cloudy,Residential,Dry,Low,Near_Roadside,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Warning,Mixed_Heavy_Traffic,Centered,,0.5788129142352513,0.2648769974708557,0.19642066955566406
11675,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,2,Four-Way,Clear,,No,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.77293301820755,0.5436107644012996,0.37728559970855713
