,Time_of_Day,Weather_Condition,Road_Environment_Type,Road_Surface_Condition,Traffic_Density,Pedestrian_Presence,Cyclist_Presence,Number_of_Visible_Lanes,Intersection_Type,Lane_Marking_Visibility,Artificial_Lighting_Source,Crosswalk_Presence,Vertical_Road_Profile,Horizontal_Road_Curvature,Infrastructure_Barriers,Building_Density,Vegetation_Level,Traffic_Sign_Presence,Vehicle_Composition,Ego_Vehicle_Lane_Position,Ego_Vehicle_Lane_POSITION,conf,iou,lrp
52,Twilight,Cloudy,Urban,Dry,Low,,No,2,,Clear,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5428954717275258,0.0,0.0
71,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,2,Four-Way,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Public_Transit_Focus,Centered,,0.507840097512839,0.0,0.0
128,Dawn/Dusk,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,Street_Lights,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5173196538110797,0.0,0.0
256,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,Yes,2,Four-Way,Clear,,Yes,Flat,Straight,Metal_Guardrail,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5819583374418711,0.0,0.0
621,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,3,Four-Way,Clear,,No,Flat,Straight,Curb,High_Rise,,Multiple_Types,Public_Transit_Focus,Centered,,0.561019798884025,0.0,0.0
1432,Daylight,Cloudy,Residential,Dry,Low,On_Sidewalk,No,2,T-Junction,Absent,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5861621135473252,0.0,0.0
1733,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,Yes,2,Roundabout,Clear,,Yes,Uphill,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5470125011184759,0.0,0.0
1851,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.561676949262619,0.0,0.0
2752,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,1,Four-Way,Absent,,No,Flat,Straight,Curb,High_Rise,Sparse,Directional,Passenger_Cars_Only,Centered,,0.4330534330896429,0.0,0.0
2852,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,3,Four-Way,Clear,,Yes,Flat,Straight,Curb,Industrial,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5696773610331796,0.0,0.0
3055,Daylight,Cloudy,Residential,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5616714668770632,0.0,0.0
3100,Night,Clear,Residential,Dry,Low,,No,2,,Clear,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,,Passenger_Cars_Only,Centered,,0.5266578603874553,0.0,0.0
3124,Night,Clear,Urban,Dry,Empty,,No,2,Four-Way,Clear,Street_Lights,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Warning,No_Vehicles,Centered,,0.49544842375649345,0.0,0.0
3159,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,1,Four-Way,Faded,,Yes,Uphill,Straight,Curb,Low_Density_Urban,,Multiple_Types,Passenger_Cars_Only,Centered,,0.5843020702401797,0.0,0.0
3213,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,,Multiple_Types,Passenger_Cars_Only,Centered,,0.5274164326488971,0.0,0.0
3418,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5525746652308632,0.0,0.0
3429,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,2,Roundabout,Absent,,No,Flat,Slight_Right,Curb,Low_Density_Urban,,Directional,Mixed_Heavy_Traffic,Centered,,0.4217513718952735,0.0,0.0
3647,Dawn/Dusk,Cloudy,Urban,Wet,Moderate,,No,2,,Clear,Street_Lights,No,Flat,Straight,Curb,High_Rise,Moderate,Directional,Public_Transit_Focus,Centered,,0.536846379439036,0.0,0.0
3935,Twilight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,2,Four-Way,Clear,Street_Lights,No,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.4898605282817568,0.0,0.0
3971,Twilight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,1,Roundabout,Clear,Building_Lights,No,Flat,Slight_Right,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.5345494151115417,0.0,0.0
4016,Daylight,Cloudy,Residential,Dry,Low,On_Sidewalk,No,2,,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.6355598771572113,0.0,0.0
4160,Daylight,Cloudy,Urban,Dry,Moderate,Crossing_Road,Yes,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.6071683386197457,0.0,0.0
4260,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,3,,Clear,,No,Flat,Straight,Metal_Guardrail,High_Rise,Moderate,Directional,Passenger_Cars_Only,Centered,,0.5932883049050967,0.0,0.0
4299,Daylight,Cloudy,Urban,Dry,High/Congested,On_Sidewalk,Yes,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5405936545255233,0.0,0.0
