,target,model,test_r2,test_mae,test_ece
0,IoU,Constant Mean Predictor,-0.0075,0.1444,0.06445270604208903
1,IoU,Univariate Linear Regression (Confidence),0.4312,0.1074,0.011599870657154314
2,IoU,Isotonic Regression (Confidence),0.4358,0.105,0.011117803787986012
3,IoU,Linear Regression,0.4693,0.1023,0.012325773170160365
4,IoU,Decision Tree,0.4468,0.1046,0.010933138684529733
5,IoU,Random Forest,0.4672,0.1015,0.0077671289607051126
6,IoU,MLP,0.4576,0.1031,0.014325127402309025
7,IoU,XGBoost,0.4658,0.1016,0.007272120782733079
8,IoU,Autogluon_Tab,0.4847,0.0996,0.006896023326308601
9,LRP,Constant Mean Predictor,-0.0059,0.1319,0.010751450061798062
10,LRP,Univariate Linear Regression (Confidence),0.4851,0.0916,0.01645977781508782
11,LRP,Isotonic Regression (Confidence),0.5194,0.0866,0.009795584225095596
12,LRP,Linear Regression,0.5181,0.0883,0.012481341453920651
13,LRP,Decision Tree,0.5116,0.0883,0.011842251545800295
14,LRP,Random Forest,0.5347,0.0852,0.01042180466196636
15,LRP,MLP,0.525,0.087,0.022438587285425242
16,LRP,XGBoost,0.53,0.0852,0.010543165473163453
17,LRP,Autogluon_Tab,0.5521,0.083,0.009414812224424807
